Date,Open,High,Low,Close,Volume,FGI,RSI_14,ATR_14,MA_14,cluster_0,cluster_1,cluster_2,cluster_3
2024-08-19,58480.7109375,59612.66015625,57864.7109375,59493.453125,25911207712,28.0,62.66727461915284,2928.771484375,58994.94782366072,True,0,False,False
2024-08-20,59493.453125,61396.328125,58610.8828125,59012.79296875,31613400008,30.0,57.38886707462146,2907.257254464286,59207.69614955357,True,0,False,False
2024-08-21,59014.98828125,61834.3515625,58823.4453125,61175.19140625,32731154072,26.0,64.42404153868516,2900.438058035714,59646.81975446428,True,0,False,False
2024-08-22,61168.31640625,61408.109375,59815.25390625,60381.9140625,27625734377,39.0,45.69354750871043,2449.4249441964284,59551.94670758928,True,0,False,False
2024-08-23,60380.953125,64947.0625,60372.05078125,64094.35546875,42530509233,34.0,58.78029448408943,2621.6397879464284,59781.535435267855,True,0,False,False
2024-08-24,64103.87109375,64513.7890625,63619.91796875,64178.9921875,21430585163,56.0,58.82289735944342,2601.4202008928573,60012.476841517855,False,0,False,True
2024-08-25,64176.3671875,64996.421875,63833.51953125,64333.54296875,18827683555,54.0,67.27308389662392,2439.4963727678573,60413.48102678572,False,0,False,True
2024-08-26,64342.2265625,64489.70703125,62849.55859375,62880.66015625,27682040631,55.0,60.32924775442678,2342.976004464286,60665.34849330357,False,0,False,True
2024-08-27,62879.70703125,63210.796875,58116.75,59504.1328125,39103882198,48.0,47.119798806968475,2487.826171875,60586.388950892855,True,0,False,False
2024-08-28,59507.92578125,60236.44921875,57890.67578125,59027.625,40289564698,30.0,50.815860742907326,2425.7469308035716,60607.128627232145,True,0,False,False
2024-08-29,59027.46875,61184.08203125,58786.2265625,59388.1796875,32224990582,29.0,55.38373966568031,2334.375558035714,60737.70591517857,True,0,False,False
2024-08-30,59388.6015625,59896.88671875,57768.53125,59119.4765625,32292756405,34.0,50.70815722992998,2290.8766741071427,60753.80385044643,True,0,False,False
2024-08-31,59117.48046875,59432.59375,58768.78515625,58969.8984375,12403470760,29.0,48.35540753330186,2275.4461495535716,60717.44140625,True,0,False,False
2024-09-01,58969.80078125,59062.0703125,57217.82421875,57325.48828125,24592449997,26.0,46.40818483805161,2277.369698660714,60634.693080357145,True,0,False,False
2024-09-02,57326.96875,59403.0703125,57136.02734375,59112.48046875,27036454524,26.0,48.8731367512776,2314.447823660714,60607.480747767855,True,0,False,False
2024-09-03,59106.19140625,59815.05859375,57425.16796875,57431.0234375,26666961053,26.0,45.63165783468278,2286.193917410714,60494.49720982143,True,0,False,False
2024-09-04,57430.34765625,58511.5703125,55673.1640625,57971.5390625,35627680312,27.0,40.28197078577714,2273.872488839286,60265.66489955357,True,0,False,False
2024-09-05,57971.703125,58300.58203125,55712.453125,56160.48828125,31030280656,29.0,37.93934074921091,2344.963448660714,59964.134486607145,True,0,False,False
2024-09-06,56160.19140625,56976.109375,52598.69921875,53948.75390625,49361693566,22.0,18.29519636838242,2330.849051339286,59239.44866071428,True,0,False,False
2024-09-07,53949.0859375,54838.14453125,53740.0703125,54139.6875,19061486526,23.0,18.834420909004038,2345.434988839286,58522.35546875,True,0,False,False
2024-09-08,54147.93359375,55300.859375,53653.7578125,54841.56640625,18268287531,29.0,21.50194424389811,2380.0206473214284,57844.357142857145,True,0,False,False
2024-09-09,54851.88671875,58041.125,54598.43359375,57019.53515625,34618096173,26.0,33.13715335843574,2508.7737165178573,57425.705357142855,True,0,False,False
2024-09-10,57020.09765625,58029.9765625,56419.4140625,57648.7109375,28857630507,33.0,43.65947842486252,2259.9534040178573,57293.17522321428,True,0,False,False
2024-09-11,57650.2890625,57991.3203125,55567.33984375,57343.171875,37049062672,37.0,44.17567153607648,2265.539620535714,57172.857142857145,True,0,False,False
2024-09-12,57343.171875,58534.359375,57330.1015625,58127.01171875,33835707949,31.0,45.76327991334945,2180.282645089286,57082.773716517855,True,0,False,False
2024-09-13,58130.32421875,60648.0234375,57650.11328125,60571.30078125,32490528356,32.0,54.255212210486505,2242.3936941964284,57186.47544642857,True,0,False,False
2024-09-14,60569.1171875,60656.72265625,59517.8828125,60005.12109375,16428405496,50.0,52.96184692949939,2276.3244977678573,57260.419921875,True,0,False,False
2024-09-15,60000.7265625,60381.91796875,58696.30859375,59182.8359375,18120960867,51.0,55.57633456811176,2264.9933035714284,57393.087611607145,True,0,False,False
2024-09-16,59185.2265625,59205.51171875,57501.33984375,58192.5078125,32032822113,39.0,47.09919134106528,2224.7882254464284,57327.375279017855,True,0,False,False
2024-09-17,58192.5078125,61316.08984375,57628.0703125,60308.5390625,38075570118,33.0,58.83120482759679,2317.51171875,57532.912109375,True,0,False,False
2024-09-18,60309.0,61664.06640625,59218.25390625,61649.6796875,40990702891,45.0,60.759594921712164,2289.469308035714,57795.636439732145,True,0,False,False
2024-09-19,61651.15625,63872.44140625,61609.8671875,62940.45703125,42710252573,49.0,70.45597151462667,2266.215401785714,58279.919921875,False,0,False,True
2024-09-20,62941.42578125,64119.53125,62364.60546875,63192.9765625,35177164222,54.0,81.63037815241738,2078.895089285714,58940.22154017857,False,0,False,True
2024-09-21,63184.33984375,63543.359375,62783.10546875,63394.83984375,14408616220,54.0,81.64410741574439,2054.765066964286,59601.30385044643,False,0,True,False
2024-09-22,63396.8046875,63993.421875,62440.7265625,63648.7109375,20183348802,52.0,81.06399353872837,2048.0217633928573,60230.38560267857,False,0,True,False
2024-09-23,63643.1015625,64733.55859375,62628.078125,63329.80078125,31400285425,50.0,75.61660188361378,1952.5066964285713,60681.118861607145,False,0,False,True
2024-09-24,63326.83984375,64695.21484375,62737.41796875,64301.96875,29938335243,54.0,76.27722474107453,1977.3091517857142,61156.3515625,False,0,False,True
2024-09-25,64302.58984375,64804.50390625,62945.375,63143.14453125,25078377700,59.0,71.46067090929326,1936.962611607143,61570.63532366072,False,0,False,True
2024-09-26,63138.546875,65790.796875,62669.26953125,65181.01953125,36873129847,50.0,73.88426206125965,2073.9104352678573,62074.49302455357,False,0,False,True
2024-09-27,65180.6640625,66480.6953125,64852.9921875,65790.6640625,32058813449,61.0,70.17937903747818,1976.0385044642858,62447.3046875,False,0,False,True
2024-09-28,65792.1796875,66255.53125,65458.03515625,65887.6484375,15243637984,64.0,73.59954365735437,1951.6568080357142,62867.48521205357,False,0,True,False
2024-09-29,65888.8984375,66069.34375,65450.015625,65635.3046875,14788214575,63.0,77.12652889630438,1875.493861607143,63328.37583705357,False,0,True,False
2024-09-30,65634.65625,65635.0546875,62873.6171875,63329.5,37112957475,61.0,69.44540228695331,1951.0306919642858,63695.30385044643,False,0,False,True
2024-10-01,63335.60546875,64110.98046875,60189.27734375,60837.0078125,50220923500,50.0,51.945013767260825,1967.722377232143,63733.05161830357,False,0,False,True
2024-10-02,60836.32421875,62357.6875,59996.94921875,60632.78515625,40762722398,42.0,45.91552875721931,1961.6456473214287,63660.416294642855,True,0,False,False
2024-10-03,60632.484375,61469.0390625,59878.8046875,60759.40234375,36106447279,37.0,40.33575191952201,1913.621372767857,63504.626674107145,True,0,False,False
2024-10-04,60754.625,62465.9921875,60459.94140625,62067.4765625,29585472513,41.0,45.439514625373775,1931.558872767857,63424.23381696428,True,0,False,False
2024-10-05,62067.609375,62371.0234375,61689.58203125,62089.94921875,13305410749,49.0,44.63463022295262,1925.929408482143,63331.02734375,True,0,False,False
2024-10-06,62084.98828125,62959.5703125,61833.1484375,62818.953125,14776233667,50.0,46.716544985086585,1895.4813058035713,63271.75892857143,True,0,False,False
